元山 /ns 69	 股长/nnt, 元山/ns, 踮起/v, 
东京 /ns 64	 d, 在/p, 东京/nsf, 上班/vi
安西 /ns 21	 e, “/w, 安西/ns, ”/w, 二
大坂 /ns 16	 , 去/vf, 大坂/ns, 办事/vn,
日本 /ns 9	  [那么/c, 日本/ns, 就/d, 会
夏天 /ns 8	  [今年/t, 夏天/ns, ，/w], 
王子 /ns 8	 n, 八/m, 王子/ns, 去/vf, 
名古屋 /ns 8	  隶属于/v, 名古屋/nsf, 分公司/n
银座 /ns 7	 i, 在/p, 银座/ns, 。/w], 
埼玉县 /ns 7	 是/vshi, 埼玉县/ns, 。/w], 
上野 /ns 4	 v, 到/v, 上野/ns, 公园/n, 
古田 /ns 4	 n, 江/n, 古田/ns, 车站/n, 
上都 /ns 3	 , 浴衣/n, 上都/ns, 没写/v, 
冲绳 /ns 3	 , 去/vf, 冲绳/nsf, 的/ude
不存在 /ns 3	 是/vshi, 不存在/ns, 没有/v, 
浦那 /ns 2	 , 玻璃/n, 浦那/ns, 令人/v, 
江户 /ns 2	  ，/w], [江户/ns, 路/n, 和
江东 /ns 2	 , 位于/v, 江东/ns, 区/n, 的
离海 /ns 2	 , 建在/v, 离海/ns, 稍远/d, 
夏威夷 /ns 2	  [或者/c, 夏威夷/nsf, 之类/rz
美得 /ns 2	 , [“/w, 美得/ns, 惊艳/nz,
汉堡 /ns 2	 是/vshi, 汉堡/nsf, 包/v, 
关西 /ns 2	 有/vyou, 关西/ns, 人/n, 来
澳大利亚 /ns 2	  了/ule, 澳大利亚/nsf, 呢/y, 
向海 /ns 2	  [不要/d, 向海/ns, 底/f, 投
上地 /ns 1	  [形式/n, 上地/ns, 打了个/n,
新开 /ns 1	 , 准备/v, 新开/ns, 一家/n, 
台东 /ns 1	 d, 在/p, 台东/ns, 区/n, 和
美国 /ns 1	 , 不是/c, 美国/nsf, 总统/nn
道县 /ns 1	 , [难/a, 道县/ns, 警/ng, 
横滨 /ns 1	 v, 到/v, 横滨/ns, 去/vf, 
连平 /ns 1	 d, 就/d, 连平/ns, 日/b, 里
光和 /ns 1	 r, 不/d, 光和/ns, 我/rr, 
天都 /ns 1	 d, 四/m, 天都/ns, 没去/v, 
火星 /ns 1	 着/uzhe, 火星/ns, ，/w], 
七宝 /ns 1	 i, ‘/w, 七宝/ns, ’/w, 吗
从江 /ns 1	  。/w], [从江/ns, 户/q, 路
惹毛 /ns 1	 , 要是/c, 惹毛/ns, 了/ule,
街道 /ns 1	  。/w], [街道/ns, 两旁/f, 
日本海 /ns 1	 , 看看/v, 日本海/ns, ，/w], 
地球 /ns 1	 , 看到/v, 地球/ns, 的/ude1
西班牙 /ns 1	 c, 浓/a, 西班牙/nsf, 沙司/nr
府县 /ns 1	 其他/rzv, 府县/ns, 的/ude1
爱知 /ns 1	 , 住在/v, 爱知/ns, 县/n, 的
大道 /ns 1	 索尼/nrf, 大道/ns, 吗/y, ？
山梨县 /ns 1	 , 一家/n, 山梨县/ns, 的/ude1
等上 /ns 1	 得/ude3, 等上/ns, 个/q, 几
丹凤 /ns 1	 m, 双/q, 丹凤/ns, 眼/n, ，
江东区 /ns 1	 , 住在/v, 江东区/ns, 木/ng, 
新店 /ns 1	  ，/w], [新店/ns, 开张/vi,
矶石 /ns 1	 [带着/vn, 矶石/ns, 香气/n, 
东京都 /ns 1	 , 整个/b, 东京都/nsf, 的/ude
和县 /ns 1	 [西口/nz, 和县/ns, 警/ng, 
上站 /ns 1	 , 椅子/n, 上站/ns, 起/vf, 
龙门 /ns 1	 f, 沙/n, 龙门/ns, 前/f, 时
绷起 /ns 1	 [汤川/nr, 绷起/ns, 嘴唇/n, 
上车时 /ns 1	 , [临/v, 上车时/ns, ，/w], 
满大街 /ns 1	  ，/w], [满大街/ns, 跑/v, 的
涩谷 /ns 1	 , 能到/v, 涩谷/ns, 新宿/nz,
千叶 /ns 1	 i, 个/q, 千叶/ns, 人/n, ，
马来 /ns 1	  联想起/l, 马来/ns, 。/w], 
浦和 /ns 1	 , 玻璃/n, 浦和/ns, 周围/f, 
太阳升 /ns 1	 w, 在/p, 太阳升/ns, 到/v, 海
北口 /ns 1	 , 站/vi, 北口/ns, 的/ude1
爱知县 /ns 1	 是/vshi, 爱知县/ns, 丰桥/nz,
太平洋 /ns 1	 w, 在/p, 太平洋/ns, 上/f, 进
