关谷 /nr 183	 [”/w], [关谷/nr, 拿起/v, 
并木先生 /nr 106	 , 既然/c, 并木先生/nrj, 也/d, 
章太 /nr 56	 n, 和/c, 章太/nr, 平日/t, 
藤间先生 /nr 47	 d, 是/v, 藤间先生/nrj, 的/uj,
关谷靖子 /nr 33	 , [”/w, 关谷靖子/nrj, 说/v, 
坂崎先生 /nr 32	 r, 是/v, 坂崎先生/nrj, ，/w],
高阶英里子 /nr 28	  。/w], [高阶英里子/nrj, （/w, 
藤间一枝 /nr 27	 , [”/w, 藤间一/nrj, 枝/q, 
高阶小姐 /nr 26	 v, 将/d, 高阶小姐/nrj, 当做/v,
姬神 /nr 21	 , 距离/n, 姬/nr, 神湖/nz,
关谷先生 /nr 21	 , [“/w, 关谷先生/nrj, 他们/r,
坂崎君子 /nr 13	  。/w], [坂崎君子/nrj, 从/p, 
靖子 /nr 13	 v, 是/v, 靖子/nr, 他们/r, 
藤间 /nr 7	  [于是/c, 藤间将/nrj, 视线/n,
并木先生 /nr 7	  既然/c, 并木先生/nrj, 也/d, 
向俊介 /nr 5	 g, 转/v, 向俊介/nrj, 问道/v,
坂崎将 /nr 5	 [”/w], [坂崎将/nrj, 每个/r,
坂崎一 /nr 4	 , 了/ul, 坂崎一/nrj, 眼/n, 
坂崎太太 /nr 4	 , [“/w, 坂崎太太/nrj, ！/w],
藤间等 /nr 4	 , 看看/v, 藤间等/nrj, 人/n, 
西玛 /nr 4	 , 的/uj, 西玛/nr, （/w, 注
张开嘴 /nr 4	 , 地/uv, 张开嘴/nr, ，/w], 

玛 /nr 3	  的/uj, 西玛/nr, （/w, 注
关谷将 /nr 3	 , [等/u, 关谷将/nrj, 塑料布/n
闭上 /nr 3	 n, 间/f, 闭上/nr, 嘴巴/n, 
藤间伸 /nr 3	 , [”/w, 藤间伸/nrj, 手/n, 
都说 /nr 3	 , 人家/n, 都说/nr, 早上/t, 
后藤 /nr 3	 w, 最/d, 后藤/nr, 间/f, 将
